level_0,index,team,code,name,surname,laps,time,grand_prix,date
19,Y,Red Bull Racing Honda,VER,Max,Verstappen,71,1:33:14.678,                         Brazil                     ,17 Nov 2019
20,Z,Mercedes,HAM,Lewis,Hamilton,55,1:34:05.715,                         Abu Dhabi                     ,01 Dec 2019
0,A,Mercedes,BOT,Valtteri,Bottas,71,1:30:55.739,                         Austria                     ,05 Jul 2020
1,B,Mercedes,HAM,Lewis,Hamilton,71,1:22:50.683,                         Styria                     ,12 Jul 2020
2,C,Mercedes,HAM,Lewis,Hamilton,70,1:36:12.473,                         Hungary                     ,19 Jul 2020
3,D,Mercedes,HAM,Lewis,Hamilton,52,1:28:01.283,                         Great Britain                     ,02 Aug 2020
4,E,Red Bull Racing Honda,VER,Max,Verstappen,52,1:19:41.993,                         70th Anniversary                     ,09 Aug 2020
5,F,Mercedes,HAM,Lewis,Hamilton,66,1:31:45.279,                         Spain                     ,16 Aug 2020
6,G,Mercedes,HAM,Lewis,Hamilton,44,1:24:08.761,                         Belgium                     ,30 Aug 2020
7,H,AlphaTauri Honda,GAS,Pierre,Gasly,53,1:47:06.056,                         Italy                     ,06 Sep 2020
8,J,Mercedes,HAM,Lewis,Hamilton,59,2:19:35.060,                         Tuscany                     ,13 Sep 2020
9,K,Mercedes,BOT,Valtteri,Bottas,53,1:34:00.364,                         Russia                     ,27 Sep 2020
10,L,Mercedes,HAM,Lewis,Hamilton,60,1:35:49.641,                         Eifel                     ,11 Oct 2020
11,I,Mercedes,HAM,Lewis,Hamilton,66,1:29:56.828,                         Portugal                     ,25 Oct 2020
12,M,Mercedes,HAM,Lewis,Hamilton,63,1:28:32.430,                         Emilia Romagna                     ,01 Nov 2020
13,P,Mercedes,HAM,Lewis,Hamilton,58,1:42:19.313,                         Turkey                     ,15 Nov 2020
14,R,Mercedes,HAM,Lewis,Hamilton,57,2:59:47.515,                         Bahrain                     ,29 Nov 2020
15,S,Racing Point BWT Mercedes,PER,Sergio,Perez,87,1:31:15.114,                         Sakhir                     ,06 Dec 2020
16,V,Red Bull Racing Honda,VER,Max,Verstappen,55,1:36:28.645,                         Abu Dhabi                     ,13 Dec 2020
0,,Mercedes,HAM,Lewis,Hamilton,56,1:32:03.897,"
                        Bahrain
                    ",28 Mar 2021
1,,Red Bull Racing Honda,VER,Max,Verstappen,63,2:02:34.598,"
                        Emilia Romagna
                    ",18 Apr 2021
2,,Mercedes,HAM,Lewis,Hamilton,66,1:34:31.421,"
                        Portugal
                    ",02 May 2021
3,,Mercedes,HAM,Lewis,Hamilton,66,1:33:07.680,"
                        Spain
                    ",09 May 2021
4,,Red Bull Racing Honda,VER,Max,Verstappen,78,1:38:56.820,"
                        Monaco
                    ",23 May 2021
5,,Red Bull Racing Honda,PER,Sergio,Perez,51,2:13:36.410,"
                        Azerbaijan
                    ",06 Jun 2021
6,,Red Bull Racing Honda,VER,Max,Verstappen,53,1:27:25.770,"
                        France
                    ",20 Jun 2021
7,,Red Bull Racing Honda,VER,Max,Verstappen,71,1:22:18.925,"
                        Styria
                    ",27 Jun 2021
8,,Red Bull Racing Honda,VER,Max,Verstappen,71,1:23:54.543,"
                        Austria
                    ",04 Jul 2021
9,,Mercedes,HAM,Lewis,Hamilton,52,1:58:23.284,"
                        Great Britain
                    ",18 Jul 2021
